S. No.,text,task_1
922,উমৈহতীয়া প্ৰাৰ্থীজন জয়ী হ’লে তিনিওটা দলৰ উমৈহতীয়া জনসাধাৰণ উপকৃত হ’ব ৷,NOT
923,ইহতৰ কোনো সৰু বৰ নাই ।,NOT
924,সেইকাৰণে ইমানকৈ গেদা গেদা কৰি পাগল হৈ গৈছ ।,HOF
925,"নাৰী লেংটা হৈ পিয়াহ দুটা দেখাই ফুৰা টু ও ""নাৰী আধিকাৰ"".... ",HOF
926,তুমি নেমাৰিলা কেলেই,HOF
927,মোৰ বহুত ভয় লাগি আছে দে,NOT
928,বৰ মৰ্মান্তিক ঘটনা ৷ খ্ৰীষ্টিয়ান ধৰ্মালম্বীক নি:শেষ কৰাৰ ষড়যন্ত্ৰ ৷ দোষীক কঠোৰ শাস্তি বিহিব লাগে ৷,HOF
929,"আপোনাক কৰা অপমানৰ বাবে দুখ পাইছো,যি নহওঁক উৰ্ধতন কতৃপক্ষই লোৱা ব্যৱস্থাৰ বাবে ধন্যবাদ।",HOF
930,এই জহৰাতোৰ ফেন এইবোৰ,HOF
931,কোচ ৰাজবংশী নেতা সকলৰ কা আন্দোলনৰ সময়ত ভূমিকা কি আছিল সকলোৱে জানে ৷,NOT
932,আইঔ মাস্ক খন ভাল কামত ব্যৱহাৰ কৰিছে,HOF
933,"তলা সমুহৰ #ছাবি বোৰ একমাত্ৰ মোৰ ওচৰতে আছে,, মই হে খুলিৱ পাৰি 😂😂",HOF
934,ভাল বজাইছা,NOT
935,সকলো হেৰুৱাই মানসিক শান্তিৰ বাবে ধৰ্মৰ আশ্ৰয় লোৱাটো পুৰণি পৰম্পৰা ।,NOT
936,হিন্দু হওঁ‌ক বা মুচলমান হওঁ‌ক তেওঁলোকৰ জাতি এটাই বাংলাদেশী,HOF
937,তহঁতৰ নিজৰ পৰিচয় নিজেই দিলি কমেন্টবোৰ দেখিলেই গম পোৱা যায় তহঁত যে বাংলাদেশী গেদা বুলি,HOF
938,সচা কথা.,NOT
939,"বিজেপি জিন্দাবাদ। সভাপতি ডাঙৰ ন হয়, ভাজপা পৰিয়ালৰ বাবে সংগঠন ডাঙৰ।",HOF
940,১৪ বছৰীয়া অসমীয়া হিন্দু ছোৱালিৰ মৃতদেহ ৫৫ বছৰীয়া অকন শইকিয়া নামৰ কুখ্যাত ৰেপিষ্টজনে ৰেপ কৰিছে।,HOF
941,আমাৰ অসমীয়া জাতীয় সত্বাত আঘাট হনা প্ৰতি গৰাকী লোকৰ বিৰুদ্ধে আমি সদায়ে আছো;সেই সকলে বুজি পোৱা উচিত অসমত থাকিলে অসমৰ ৰিতি নিতিত চলা উচিত অন্যথা নিজৰ সসন্মানে নিজৰ ঠাইলৈ প্ৰস্থান কৰা ভাল,HOF
942,তাই টিকাটো কাটি ভাজি খুৱাব লাগিছিল,HOF
943,আজি দুয়ো জনকে একেলগে দেখি ভাল লাগিল জুবিন যতীন,NOT
944,তোৰ নিচিনা জুটি লৈ ফুৰা বনৰী তীৰুতা হিন্দু ধর্ম ত নাই,HOF
945,ধৰ্ষণ কাৰি মানে হিন্দু ভাৰতত 75 % হিন্দু মানুহ ধৰ্ষণ কাৰি আৰু সেই হিন্দু মানুহ বিলাকক কি কোৱা উচিত Bipasha,HOF
946,তেনেহলে আপোনালোকে বেয়া কাম নকৰে? বেয়া কাম ছবেই কৰে।,NOT
947,"অভিনন্দন, পিছে আকৌ ছোৱালী জনী ইংৰাজী বুজি পায় নে নাই",HOF
948,বাবে চৰকাৰে নাৰীসকলৰ চাহিদা অনুসৰি শেষলৈকে বেশ্যা বৃত্তিৰ স্বাধীনতা দিবলৈ প্ৰস্তুত হল।,HOF
949,"জঘন্য মহিলা ,উতলা গৰম পানী নাভি আৰু বুকুত কোনোৱাই ধালি দিলেহে এইজনীৰ পোছাকবোৰ ঠিক হৱ আৰু...",HOF
950,মাৰক কেলা,HOF
951,"চৰকাৰে নিজৰ ভৰিত নিজে কুঠাৰ মাৰিলে। বিৰোধী ৰাজনৈতিক দল ,জাতীয় সংগঠন আদিয়ে বিষয়টো ইচু কৰি ল ও ক।",NOT
952,এয়া হ'ল বাকৰী মাটিত ধন,NOT
953,টকাৰ বিনিময়ত তই কিমান তললৈ যাব পাৰ তাৰে চানেকি দেখাই আহিছ সদায় ।,HOF
954,নাজানো আৰু কেতিয়া সফল হ'ব পাৰিম।,NOT
955,যতীন বৰা পাগল আছিলো এই মানুহজনৰ কাৰণে...,NOT
956,ভাৰতে সতি আহিলেও চিনে নাজায়,NOT
957,ভাৰতৰ পৰা বাহিৰ কৰি দিব লাগে,HOF
958,আপকি এক গলতী আপকি দুনীয়া হিলা দেগী।,NOT
959,এই কুকুৰ আলিক গছত বান্ধি চোৰৰ দৰে পিটিব লাগিব,HOF
960,ইয়াৰ একমাত্ৰ দোষী মাক-বাপেক ।নিজৰ ছোৱালী ক'ত কাৰ লগত ঘুৰি ফুৰে খৱৰ নাৰাখে,HOF
961,আমি সকলে মিলিজুলি থাকিব লাগে কথা কলে বহুত বাঢ়ি যায় ? ভুল হলে ষমা কৰিব ৷,NOT
962,আপোনাৰ কথাৰ সুৰ তকৈ আমাৰ ঘৰৰ কুকুৰটোৱে ভুকিলে বেচি ধুনীয়া মাত উলাই অ।,HOF
963,"অসমত অসমীয়াৰ ভাল কৰিলে, অসমিয়া মানুহে ভাল নাপাই",HOF
964,কাম নাই কি কাম আচেনু ফালতু চালা,HOF
965,হিন্দু- মুছলিম ভাই ভাই বাংলাদেশী সুদূৰ্ভাই,HOF
966,কিন্তু টকাত অসমীয়া ভাষা টো প্ৰথম লিখা থাকে,NOT
967,নিৰামিষ নাখায় যদি পায়খানাৰ গু খোৱাই দিয়ক,HOF
968,অধিবক্তা বৰা ডাঙৰীয়া ধন্যবাদ।,NOT
969,আৰু এনেকৈ আধা নাঙঠ হৈ অহাতকৈ সম্পূর্ণ নাঙঠ হৈ অহাই ভাল....,NOT
970,independent হলেও মতাৰ তল গতিকে muslim ক উপলুঙা কৰাৰ আমাৰ অধিকাৰ নাই।,HOF
971,"আৰু বোৱাৰী বোৰৰ নো কি পোকে কামোৰে লৰা ছোৱালী এৰি মিঞা মতা লৈ যায়,",HOF
972,ভাল মানুহৰ একো নহয় তোৰ‌ দৰে পাগল বোৰৰ হ'ব,HOF
973,বাপেকে AGP কৰিলে পুতেকেও AGP কৰিবই লাগিব বুলি কৰোবাত ৰিখা আছে নেকি??,HOF
974,দয়া দা 300K  আগতিকৈ শুভেচ্ছা জনালোঁ,NOT
975,কিন্তু নিজ দেশত নিজ মাতৃভূমিত আন কোনোবাই কৰা ভূলৰ কাৰণে কোনো অপৰাধীৰ কাৰণে সকলো জনগোষ্ঠীক জগৰীয়া নকৰিবা ৷,NOT
976,এই বিলাক পোষ্ট দি উৎসাহি নকৰিব দেখাটো মহাপাপ,HOF
977,আৰু কাম নাই নেকি বাৰু আপুনি ও একেই,HOF
978,তোৰ মাধাত গোবৰ আছে,HOF
979,অসমৰ জহৰা চেনেল,HOF
980,কৰ্মচাৰী ক নকৰিলে লোকসভা নিৰ্বাচনত হাৰাটো খাটাং,NOT
981,অতি সোনকালে 100k হৈ যায় যেন,NOT
982,সুন্দৰ নিৰ্দশন ! অসম আমাৰ ৰূপহি ! সংগীতৰ কণ্ঠৰ পৰা খেল জগতলৈ !,NOT
983,মজা‌ লাগিল‌ দেই আজি ভিডিও‌টো চায়।দয়া তুমি সদায় আগবাঢ়ি যোৱা।carry on,NOT
984,ভাস্কৰ দাদা যদি সুখী বৰষা বাক লৈ তেনে তাত মাত মতাৰ অধিকাৰ নাই।,NOT
985,লক্ষীমপুৰ ৰ পৰা মৰম যাচিলোঁ,NOT
986,"সমষ্টিৰ পলায়ন বাদীৰ নেতা তথা ভষ্টাচাৰ দহটা লবীৰ বগাধৰ কথা বিজেপিৰ প্ৰয়োজন নাই ,আজি ৰাইজ কাৰ লগত সেইটো চাই ললেই হল ।।",NOT
987,জ্বলিছ কিয়,HOF
988,অ গাধ তোমি তিনিচুকীয়াত আহিবা তোমাক দেখাম কিমান হিন্দু ল'ৰা মুছলমান ছোৱালী বিয়া পাতিছে,HOF
989,আনে সজোৱা ঘৰত ৰং  দিৱ সকলোৱে পাৰিব।কিন্তুু ঘৰখন সজাৱলৈ বহুত  কস্ত।,HOF
990,অভিনয় কৰোতে dialogue বোৰ scripted থাকে গতিকে বিনা script অত এইগৰাকী সীমিত মগজুৰ অভিনেত্ৰীৰ পৰা আৰু কি আশা কৰিব পাৰি ।,HOF
991,বি জেপি গমন নেকি? তোমাৰ।,NOT
992,"ভুলোকা বাহ,ভাই ভুলোকা বাহ,নতুন গজালি ওলাইছে।",NOT
993,হেৰʼ পিতৃ মাতৃৰ প্ৰতি ককাই ভাইৰ প্ৰতি থাকিব লগীয়া প্ৰেমৰ কোনো মূল্য নাই নেকি,NOT
994,"ভুল আপোনালোকৰ দাদা, প্ৰণৱ গগৈৰ মৃত্যু হোৱাৰ ফাইলটো খুলিবলৈ সাহস কিয় নকৰে।",NOT
995,আমি অতি কঠোৰ ভাবে শিক্ষা বিভাগএইৰ বিকাশ নকৰিলে আনে হাহিবলৈ সুযোগ পাব।বাকী বৰমোৰীয়াৰ সীদধানত।,HOF
996,মোকো বলিউড মাতিছিল কিন্ত সেই সময়ত মই লুডু খেলি আছিলোঁ।।।,NOT
997,নহ'লে আমি বোৰ কি এনে পঢ়ি আছোঁ নি,NOT
998,"কেতিয়া কি চলনাৰে ক'ত প্ৰৱঞ্চনাৰ জাল পেলাই ঠিক নাই, সেইবাবে এনেবোৰ মানুহক সম্পূর্ণ মুখমণ্ডল স্পষ্ট কৈ দেখুৱাই দিব লাগে।",NOT
999,দেখা যাব দুধ কা দুধ পানী কা পানী হৈ যাব বাপ্পেকে। ক্যা বুলি ভাৱতা হ্যায়?,HOF
1000,হয় ৷ কাম নকৰা অথবা নোহোৱা অকৰ্মন্য কেইজনমানক আঁতৰাবই লাগে ৷,HOF
1001,কাগজত শিক্ষিত গৰু কথা এনেকুৱা হ'ব পাৰে,HOF
1002,এই designer ৰৰ তাত একেবাৰে নিপিন্ধা পোচাকআছে নে 😝😝😝😜😝,NOT
1003,এনেই নামটোৱে মন্ৰী সকলো কাম কৰে মুখ্যমন্ৰীয়ে,HOF
1004,সাংবাদিক নে শাংবাদিক নে সাংঘাটিক ।,NOT
1005,ঘৰত থিয় হৈ থাকিলে নিদিব নেকি,NOT
1006,ছেক্সী পোশাক সভ্য ছোৱালী কেতিয়াও নিপিন্ধে।,HOF
1007,নিউজটো দি দিব পাৰিলে আপুনালোকক ভগৱানে জংঘল কৰিব।,NOT
1008,কুকুৰ পোৱালী তহঁতৰ চৰকাৰে খনে কি খোৰাই আছে,NOT
1009,ভাই ভাল লাগে,NOT
1010,আই দেহি অভিনয়তো ফ্লপ আৰু বক্তা হিচাবেও চুপাৰ ফ্লপ !,HOF
1011,শিক্ষিত মানুহৰ অশ্লীল কমেন্ট বেছি ।,HOF
1012,।।। ঘেণ্টা!!! তই সাধাৰণ VCD এখনৰ নৃত্য পৰিচালক নহয়। তই ভাল VCD এখনত নাচি পইচ নাই ।,NOT
1013,তুমি মোৰ মৰমৰ তোমাৰ কথা কেতিয়াও গভীৰভাৱে নলও,NOT
1014,সেই বিষয়ত  আমাৰ মূখ্য মন্ত্ৰীৰ  কোনো উত্তৰ  নাই।,HOF
1015,পুলিচ নিবো ৰোহ টুক বিএলজি চুয়ালিক বিডিএনএম ক্ৰচো,HOF
1016,বিনা মেকআপ চুমি বৰা ৰানু.....,HOF
1017,গৰু অভাব নাই বা,HOF
1018,so মই ভাৱো ৰাইজে ইহতক ঘিণহে কৰিব লাগে তেতিয়াহে ইহতৰ শৰীৰ দেখাই কৰা business খতম হব,HOF
1019,"ইমানকৈ ফুটিছে কিয় , মূৰ গৰম হলেই নে ?",HOF
1020,কি পাই হিহঁতে এইবোৰ কৰি ফটো মাৰি চি নিজকে লাজ লাগে।,NOT
1021,মাইনা এইবিলাক এৰি পঢ়াত লাগা,NOT
1022,আমি নামানো কি কৰা কৰি থাকা আমি আইতা,HOF
1023,এটা কাম কৰবি  এটা লবি লেভেল নহয়। ভাল লাগিব।,HOF
1024,আপোনিও কম নহয়,HOF
1025,এইডা কোনো গান হইলো পাগলের দল পাগলা গান,NOT
1026,কমেণ্টটো পঢ়ি আহিছিলো অলপ আগত,NOT
1027,"বাতৰি পৰিৱেশন কৰিবলৈ বাতৰি নাছিল চাগে , এইটোকে বনাই দিলে সঁচাই মিচাই",NOT
1028,অকল অতটিউন কৰিহে গান গাই জানা আছে আগতে,HOF
1029,কাণ তলীয়া চৰ এটা মাৰিব মন গৈছে আপোনাক,HOF
1030,মূখ্যমন্ত্ৰী দেৱলৈ অশেষ ধন্যবাদ জনালোঁ।,NOT
1031,আমি যুঁজাৰু সৈন্য । তহঁতি থকা ঠাইবিলাক আমাৰ সাতভনীয়ে দশল কৰি লব।,HOF
1032,সকলো বস্তুৰেই অতিমাত্ৰা বেয়া,NOT
1033,পাগলৰও এটা ভাগ থাকে বুলি কোৱা কথা ষাৰ সঁচা নহয় জানো,HOF
1034,আইমীবৰুৱা ৰ লাজ আছেজদি আৰু চিনেমা নকৰে,HOF
1035,এই নমুনা বিলাক ক'ৰ পৰা আহে? পাগল নেকি?,NOT
1036,ভাল পাগল এটা জন্ম হল পৃথিৱীত,HOF
1037,তেওঁ আন্তঃৰাষ্ট্ৰীয় পৰ্যায়তু কিমান জনপ্ৰিয়। জুবিন জুবিন নহয় তেওঁ এক বিশাল ক'লা কৃষ্টিৰ ভান্দ্ৰাৰ।,NOT
1038,কাম নাই ফতুৱা নিউজ। বিজেপি জিন্দাবাদ,HOF
1039,নিজোকে চুপাৰ ষ্টাৰ নাভাবিবিয়ে ক্লা,HOF
1040,সচা কথাত আমি সকলোবোৰ অসভ্য হৈ পৰিছোঁ ।,HOF
1041,এইটো বহুত বেয়া কথা হৈছে,NOT
1042,কণী কাটি দিব লাগিছিল,HOF
1043,চেনাইটি এৰি গুচি যোৱাতকৈ মোক মাৰি গুচি...ঘণ্টা bf এ তাইক এৰিলে আৰু দুখৰ গান গাবলে পালে social mdiat কাম নাই তাক ফোন কৰি গাই শুনা হেৰৌ আই অ,HOF
1044,তই জেলত আছিলি ভালেই আছিল ।,HOF
1045,"কাক কি সুধিব লাগে আগতে জনি লৈ প্ৰশ্ন বোৰ কৰিব লাগে, ৰাইজক সংবাদ দিবৰ বাবে সাংবাদিক হৈছে",HOF
1046,ডেকা আপুনি থাম্বনেলবোৰ সলাবো,HOF
1047,ভাষা নাই কবলৈ একো,HOF
1048,ইমান নিষ্ঠুৰ মানুহ হ'ব পাৰে নে,HOF
1049,একো নহয়।তুমাৰহে বিয়া ঘৰৰ কুৱাৰ পাৰৰ দৰে ঠেন ঠেনিয়া হ'ব।,HOF
1050,কুকুৰৰ মাংস দিয়ক,HOF
1051,দেশৰ ৰাজধানী হিচাপে দিল্লী আগৰেপৰাই আন চহৰতকৈ আগবঢ়া ৷,NOT
1052," গেদী বা ছেৰি বুলি সিহতে নিজে মাতে, প্ৰমান লাগে যদি দিব পাৰো , দাদাক বাই কয়",HOF
1053,আই ঔ ডিমা,HOF
1054,সেয়ে ইহঁতে আজি সৰ্বেসৰ্বা হৈ পৰিছে ৷,HOF
1055,"বহুত কষ্ট কৰিছো, নাজানো কিমানখিনি আগুৱাই যাব পাৰো",NOT
1056,জুবিন গাৰ্গক সমালোচনা কৰা সকলে এবাৰ হ'লেও এই অনুষ্ঠান চাই যেন।,NOT
1057,ইহঁতে পাইছে নেকি মন গলেই যি কৰিব ?,HOF
1058,ৰাহুল আহমেদ ডাঙৰীয়া লৈ বহুত বহুত ধন্যবাদ থাকিল সত্যৰ পথত মাত মাতিব,HOF
1059,মুখত কি লগাইছে ইমান চমকিচে যে,HOF
1060,সকলো ভোট পাব AJP এ। কিন্তু জয়লাভ কৰিব BJP দলৰ প্ৰাৰ্থী জনে।,HOF
1061,এই উৰ্ফি আচলতে বেছি কৰে৷,NOT
1062,এইজনীৰ কথা কোৱাৰ ভংগিমা দেখিয়ে মুৰটো বেয়া হৈ গৈছিল ।,HOF
1063,সাধাৰন আকাৰতকৈ য়ো যথেষ্ট ভৰ বেছি।,HOF
1064,ছেকেণ্ডহেন্দ মাল,HOF
1065,আমি কিন্তু লোকসভাত নিজৰ ৰাজ্য হকে মাত মাতা নেতাকহে বিচাৰোঁ। এনেই ৰাইজৰ টকাৰে  দৰমহা  খাইথাকা নেতা আমাক নালাগে।,NOT
1066,অসমত অকল বদন কেইটাই নাই আমাৰো লাখ লাখ মানুহ আছে। Go back আপ,HOF
1067,কৈছো নহয় তাই কাপোৰৰ পৰা ভৰসা উঠি গৈছে,HOF
1068,দিব লাগে কেলা,HOF
1069,২৬০/২৭০ যাত্ৰীৰ ভিতৰত ৫/৬ গৰাকী মহিলা  এয়াৰ হোষ্টজ ।,NOT
1070,"ক'ত পোৱা এইবোৰ,,এই ভিডিঅ'টো বহুত বছৰ পুৰণি",NOT
1071,দুই জনেই নামঘৰীয়া ।অহা নিৰ্বাচনত ভকতৰ বাবে কিমান পকামিঠৈ লাগিব গননাত লাগি আছে।,HOF
1072,লখিমপুৰত সোণোৱাল ছাৰক লাগিব,NOT
1073,দাদা আপুনাৰ ভিডিওবোৰ দয়া দাদাৰ দৰে একেই আপোনাৰ ভিডিও প্ৰথম চাইছো আজি বহুত ভাল লাগিল,NOT
1074,ইহতৰ পৰা দেশ তথা সমাজৰ develpoment তো হোৱাই নাই,NOT
1075,আলফা সকলে লুকা ভাকু খেলি থাকোতে এইবিলাক পাহৰিলে ।,HOF
1076,ইমান খেছৰ নে এইটো,HOF
1077,মই চুনৰ খৰচ তোহে দিব পাৰিম,HOF
1078,ডিব্ৰুগড়ৰ পৰা বহুত বহুত মৰম যাচিলো মজা লাগিলে ভিডিওটো  চাই  আমাৰ দাদাক দম দিবলৈ ইমান সাহস,NOT
1079,দিল্লীতে হাৰিব আগন্তুক নিৰ্বাচনত আপ।,HOF
1080,মন্ত্ৰী সভা আছে জানো সলাবলৈ  ।,HOF
1081,"গোটেই দেহা দেখুৱাই শেষ কৰি, এতিয়া কিয় শৰণাপ্ৰন্ন হ'ল, সেই বাতৰিতো দিয়ক!!",HOF
1082,আজিৰ দিনতো এই অৱস্থা,HOF
1083,তহতে আকলাই চাই মালটু উঠাবা নালগে,HOF
1084,তোৰ শৰীৰ টো এনেও তই তোৰ ভাড়া ৰুমত বেশ্যা গিৰি কৰি থাকা চোন,HOF
1085,আপৰ ভাল দিন আহি গল  গাওৰ  সকলো মানুহে লৈছে। ২৪চনত কি হব  কব পৰা নাই। মামাই কি কৰে। কৰৰ  ভয়ত মানুহ লোকাইছে।,NOT
1086,টেঙা আম এবাৰ হে বেচিব পাৰি,NOT
1087,একো ভাল লাগা নাই কেনে দেখি 🤣🤣🤣,HOF
1088,বৈনেক চুদা মিঞাৰ বতছা উচৰত আহি পেলাই কবি জহঢ়া হত,HOF
1089,ঐ নাঙল তই পগলা হলি কুকুৰ গেডাৰ ডালাল ।,HOF
1090,মই আহি গলো ।,NOT
1091,অসম চৰকাৰে কি চাই আচে,NOT
1092,অসহনীয় কেলা এইবিলাক মানুহ সাৰিত নপৰে,HOF
1093,মোৰ বাৰীত আহিবি জাৱৰ চাফা কৰিবলৈ আৰু আমাৰ বাৰাণ্ডাত পানী অলপ আছে ডুব গৈ মলিবি আহ তেলা,NOT
1094,টিলিঙা বজোৱাজনে বজাই টিলিঙা দেশৰ কাম কৰিব কি?,HOF
1095,দেখাত ফেঁচা যেন লাগে ধুনীয়া দেখিবলৈ হ'লে।,HOF
1096,"বড়ো হ'ল অসমৰ জনগোষ্ঠী,বড়ো ভাষা অসমৰে স্থায়ী জনজাতীয় উপভাষা।",NOT
1097,বহুত কমেন্ট চালো ।,NOT
1098,ভাগ্য ভাল লেট্ৰিনত কেনেকৈ বহে তাক যে নেদেখোৱালে। কৃষ্ণ।।,NOT
1099,কঠোৰ হাতেৰে দমন কৰক | সন্ত্ৰাসবাদী নিপাত যাওঁক,HOF
1100,তাতকৈ জহৰা জংঘলী বোৰ,HOF
1101,"সুন্দৰ বক্তব্য আগবঢ়ায়ছে। এইখন অসম, বিভিন্ন জাতি জনগোষ্ঠীৰ সংস্কৃতিৰৰে ভৰপূৰ এই ভাৰতৰে অংগ অসম, ",NOT
1102,হয় নিৰামিষ নেখায় কাৰণ তাই কেচা তেজ খোৱা মহিলা,HOF
1103,ভাল চিন্তা কৰিছে দাদা। আগবাঢ়ি যোৱা এনেদৰে। ‌‌।,NOT
1104,এটা ছবি ছাক আৰু দুজনী ফটো ছাক কোনতো ভাল লাগিছে কক,NOT
1105,ইয়াক বহি থকাটে জ্বলাই দিও নি বেছি বেছি কৰিছে দেখোন,HOF
1106,প্ৰাইভাগে গৰু খাই খাই গৰুৰ নিছিনা হৈ গৈছে মগজু বোৰ,HOF
1107,AAP আহি বাল ফেলাব।এইবাৰ বেছিকৈ চেন্ডেলৰ কোব খাব পাৰে।,HOF
1108,কেনেকৈ শুৱে সেইটোও দেখুওৱা মই বিদ্যা দেখা নাই দামি মানুহে কেনেকৈ শুৱে,HOF
1109,সততাই মানুহৰ জীৱনক অতি সুন্দৰ কৰি তোলে । দিল্লীৰ মুখ্যমন্ত্ৰী মাননীয় অৰবিন্দ কেজৰীৱালৰ সফলতাল মূল মন্ত্ৰৰ যাদু এয়াই।,NOT
1110,বহুত দিনৰ পিছত আহিলা কেলা,NOT
1111,ময়ুৰ দাদা তোমাৰ পেংকল বহুতো ভাল লাগে মই ʼআৰু মোৰ কাৰনে Zubeen dada এটা পেংকল বনাই দিবা । সদায় চাই থাকে ।,NOT
1112,দিল্লীত সচাকৈয়ে বহুত সেউজীয়া আৰু শাৰী শাৰী শৃংখলাবদ্ধভাৱে ৰোৱা গছ গছনি ৷ নিম গছ অধিক আৰু ফুল ৷ অকল কংক্ৰিট বা গাড়ী মটৰ নহয় ৷ ধুনীয়া সেউজীয়া দিল্লী,NOT
1113,যোৰহাটৰ ৰাইজে ভাল দৰে জানে কংগ্ৰেছক জিকালে কি অৱস্থা হব ৰাইজৰ😀 বেলেগ 2 নকওঁ এটা ভাল ৰাজপথত না,HOF
1114,সৰুৰে পৰা চাই আহিছো ভিচিডি বিলাক;যিমান বিলাক চাইছো বুজিছো সহজ সৰল ভাৱে বৰষা বা অভিনয় কৰে।,NOT
1115,"তাৰ পাছত আছে jew,christianity,Budhism ,",HOF
1116,লাজ  নাই নেকি,HOF
1117,কুকুৰে ভুকি থাকিলে হাতীয়ে Care নকৰে ঐ প্ৰেগা নিউজৰ সাংবাদিক।,HOF
1118,"এইটো system চলি আছে আৰু চলি থাকিব নহ'লে গুৱাহাটিত ফ্লেট কিদৰে কিনিব?এতিয়াও oc,sp,dc,mondol,sdc এ টকা খোৱা বন্ধ কৰা নাই",HOF
1119,হাহু মা নহয় হেৰৌ শাহু মা,NOT
1120,কোনটো খানা ৰঙ এনেকুৱা মানে,HOF
1121,বন্ধু অসম অকল আহোমৰ নহয় অসম,NOT
1122,কথাটো সত্য । ভাষণত আৱেগিক হৈ কোনো  লাভ নাই । ৰাইজে যাতে সচেতন হয় । বাৰে বাৰে যাতে ঠগ নাখায় উন্নতিৰ নামত । তাৰ বাবে আমি practically মজবুত হোৱা উচিত ।,NOT
1123,কাউৰী কণ্ঠী প্ৰতিযোগিতা অনুষ্ঠিত হৈছিল,HOF
1124,তই যে প্ৰকৃতি অসমীয়া তোক সমৰ্থন কৰা লোকবোৰৰ উপাধীবোৰ চালেই বুজিব পাৰি ।,HOF
1125,নিজেই মৰি যাবই লাগিছিল,HOF
1126,এই বিলাক ইজনে সিজনক দম দি থাকিলে কি হ'ব। এনেকৈ চলি থাকিব।,HOF
1127,এ বঢ়িয়া,NOT
1128,এই মাত্ৰ DB NEWS এ জনাইছে ।,NOT
1129,কিমান জোৰত হেঁচিছে,HOF
1130,আজমল গেলা আলু,HOF
1131,ইচ ৰাম ঘন্টা নিউজ !! তেওঁ নিজেই জাৱ লাগে খাদ্য আনিবলৈ অলপ সোনকাল হল হেতেন 😄☺😄😃,NOT
1132,গতিকে মানুহে অত্যাৱশ্যকীয় কামতহে নেট ব্যৱহাৰ কৰিছিল।,NOT
1133,গাখীৰ খোৱা দাত খৰাই নাই সচাই জহৰীৰ,HOF
1134,"কাম কৰ অ ভাই তহতৰ ভিদিঅ এনেও মানুহে নাচায় , চাব লগিয়া , শিকিব লগীয়া জানিব লগীয়া ও একোদাল নাই , গতিকে 1500 টকা নাপাই আৰু কিমান পাবি ,",HOF
1135,একো নাই । তোৰ জোৱাই গেদা বুলি গম পালো দে । যা লুঙিৰ তলত সোমাই থাক 😂,HOF
1136,সচাকৈ বহুত ভাল গাইছে।,NOT
1137,নে আপোনালোক এইবোৰ খবৰ ভবিষ্যতবাণী কৰে ???,NOT
1138,পিঠি ফালি দিব লাগে,HOF
1139,আমি পৰা নাই। কিন্তু আমাৰ নাৰী সমাজ খনত আপুনি সদায় সূর্য হৈ থাকক। জয়ী হওক এই যুদ্ধত।,NOT
1140,ইয়াত ২জনে দোষী. আগতেই কিয় দিছিল সকলো.........,NOT
1141,"মহাশয়, আপোনাৰ দিল্লীৰ চৰকাৰী বিদ্যালয়ৰ শিক্ষা প্ৰদ্ধতি বিশ্লেষণ, বহুত লাগিল।",NOT
1142,খুব ভাল কৰ্ম,NOT
1143,দিল্লীৰ  সকলো  ইস্কুলৰ  অৱস্থা একে নহয়,HOF
1144,এ মোজ্জলা লাগিছে জুনি পুলিচ কেচ দিয়া এক্সোমিয়া জাতি জোনমান নি কিয়া কোৰি ডিচে,HOF
1145,বক্সাৰগৰাকীৰ দেহৰ কোনটো অংশ ৰাজহুৱা আৰু কোনটো ব্যক্তিগত অংশ কেনেকৈ নিৰূপণ কৰিলে?,NOT
1146,তই ওপৰত যাব লাগিব,HOF
1147,যদি আপুনি শিক্ষিত তেন্তে হিন্দু ধৰ্ম ত্যাগ কৰি সামাজিক ভাৱে ফেচবুকত দিয়ক তেহে....,HOF
1148,আমাৰ কপাল ফুটাআমাৰ কপাল ফুটা,NOT
1149,লাজ অকন পাইছোঁ যে হিমন্তই,HOF
1150,তাই কি পিন্ধে কি নিপিন্ধে সেইবোৰ চাবলৈ আমাৰ সময় নাই ।,NOT
1151,এটা সময়ত তই বহুতক জলালি আৰু এতিয়া তই জলি থাক,HOF
1152,এইটো বাতৰিৰ যোগেদি আমাক কি জ্ঞান দিব বিচাৰিছে।,NOT
1153,Zubeen Da Best। Simanta জহৰা তই নামঘৰৰ দবা নহয় নিজকে তোলনা নিদিবি দবা বোলি জুবিন দা হে নামঘৰৰ দবা,HOF
1154,silapothar ৰ news টু চাই ছ নে।,NOT
1155,নিতুমণি দাদা ভালে থাকক আপুনি সমালোচনা খেনি আশীৰ্বাদ হিচাপে আগুৱাই যাওঁক হেঁপাহৰে।,NOT
1156,তই ধংস হলি আৰু,HOF
1157,বিল সমল লোই ভিডিঅ' বোনাইচো ক্লা ওলপ ভিএল ভিডিঅ' বোনা ওহংকাৰী। একে এলজিটি থাকি এলজিআৰ কিটেক এলভিএল দেখালি চাওক🙏🙏,HOF
1158,বোচেশ্বৰিক তহঁতি বেছিকৈ দেখাই আছ চাবলে অকণমান ও মন নাই ।।।।,HOF
1159,বিৰোধী দল শক্তিখালি নহলে উন্নয়ন ক্ষেত্ৰখন অলপ ধিলা হয়।,HOF
1160,কোনো কাম নাই আগতে গোটেই পৃথিবীখনক লেংটা হৈ দেখুৱাই এতিয়া ধৰ্ম কৰি লাভ নাই,HOF
