S. No.,text,task_1
256,চিনি টিনি মনে হচ্ছে সম্পর্কের মধ্যে...😁,HOF
257,"এরা সব ভারত বিরোধীদের সাথে আছে।কমিউনিস্ট, কংগ্রেস এদের কাছের লোক।এরা ভারতের সংবিধান মনে না, খাপ পঞ্চায়েত হলো এদের কাছে সুপ্রিম কোর্ট।",NOT
258,এই মহিলাটা ঠিক সেখানেই মুখ খোলে যেখানে সরকার খুলতে বলে। তার জন্য টাকা দেওয়া হয়। এরা ভারায় খাটে,HOF
259,না রে বাংলা তো তোর বাপেরআর টি এম সি র বাপের।,NOT
260,"কত টাকা পেলেন... অপর্নাদেবী ?? বলি কি, বয়স তো অনেক হল... এবার একটু আত্মসমালোচনায় মনোনিবেশ করুন!",HOF
261,"সমস্ত কমেন্ট পড়ে বুঝলাম, আমরা কাছের জিনিস খুব সহজে দেখতে পাই না, আর দূরের জিনিস দূরবীন ছাড়াই দেখতে পাই। (হায় বাঙালি)😢",NOT
262,এরকম সতবাবা স্টোরি গুগল এও পাওয়া যায়,NOT
263,"ইয়াকেও খাঁচায় বন্দী করা হোক,, সমাজের কীট এগুলো",HOF
264,সবই শাক দিয়ে মাছ ঢাকার ধান্দা 🤧😶,NOT
265,"যাক বাবা, তবুও "" দু-পয়সার মিডিয়া "" এর জন্য সত্য খবর কিছু পাওয়া যাচ্ছে। নইলে কোটি টাকার মিডিয়া গুলি ( গোদি মিডিয়া) তো মোদীজীর পা- চাটতে চাটতে পুরো দেশটাকেই না চেটে সাফ করে দেয়।",HOF
266,গান্ডুর মতো কথাবার্তা ।যোগ্যতা নেই তৃণমূল করবে বাস তাহলেই চাকরি।,HOF
267,শোভন বাবু খুব সাবধান😁😁,NOT
268,"কি করে পাবে যে খানে আজাদির স্লোগান দেয়,",NOT
269,"বি.এস.এফ নাকি হত্যা,ধর্ষন করে এসছে এতদিন।এখন নাকি আরও ফোর্স এসে হত্যা,ধর্ষন বেশি করে করবে।দেশের সিকিউরিটি ফোর্স সম্পর্কে এমন চিন্তা ভাবনা সত্যিই অবাক লাগে!!!",NOT
270,"এটা ইনি বললেন, কিন্তু এটা প্রথম থেকে হয়ে আসবে, এবং যে আসবে সে এমনই করবে।",NOT
271,দারুন হয়েছে দেবাংশু।যে কারণে রাহুল গান্ধীর সাংসদ পদ বাতিল হয় তার থেকেও অনেক গুরুতর কারন মোদি ঘটিয়েছে। বিরোধী দলের জোট INDA কে সন্ত্রাসী সংগঠন হিজবুল মুজাহিদিন সংগে তুলনা করে বলেছে ইন্ডিয়া মুজাহিদিন। এই কারনে রাহুল গান্ধীর আগেই মোদির সাংসদ পদ বাতিল হওয়া উচিত।,NOT
272,"আম দিয়ে একটা চপ হলে জমে যেতো! ভাবুন তো একবার ""আম চপ""",NOT
273,সায়নী ঘোষের যেটা ফুটো আছে সবাই মিলে ভরাট করুন আসল মাথার নাম বলে দিবে,HOF
274,যারা মোদীর বিরোধী তাদের পাশে কেউ থাকবেনা আর এর মধ্যে কেরালা স্টোরি আসলো কোথায় থেকে,NOT
275,দেশে ঝামেলা এই সব মন্ত্রী রাই বাড়াই,NOT
276,"এই অল্প বয়সে ,এত পরিণত আর পরিস্কার বক্তব্য ভাবা যায না,তুমি ওনেক বড হও মা।",NOT
277,ফালতু পশ্চিমবঙ্গ রাজ্যের শিক্ষা মন্ত্রী,HOF
278,সাব্বাশ দেবাংশু। অভিষেকের ইয়াং বেঙ্গলে'র তুমি অন্যতম সেনানী। লক্ষ্যে দৃঢ়প্রতিজ্ঞ থেকো।,NOT
279,অবিলম্বে এই মূর্খ শিক্ষা মন্ত্রীর বিরুদ্ধে আইনি ব্যবস্থা নেওয়া উচিৎ কোর্টের,HOF
280,যত বুড়ো বয়সে ভীমরতি 😁😁😁😁,HOF
281,চাকরিটাও জনসাধারণের ন্যায্য তোর বাপের না সেটাও একবার মাথায় রাখিস। না তো কোনদিন রাস্তায় দাড় করিয়ে লোকেদের মুখে হিসু করে দেবে।,HOF
282,বাংলার এই MLA গুলোর সাথে সুভাষ চক্রবর্তী গৌতম দেব এদের পাশাপাশি রেখে কল্পনা করুন।,NOT
283,জানতাম না মন্ত্রীর আবার চাকরির কোটা আছে,NOT
284,চারি দিকে বাংলা মায়ের অপমান সহ্য করতে না পেরে মেয়েটি যে কষ্ট পাচ্ছে তার ই প্রতি ফলন ওর মন্তব্য টি। এতে রাজনীতি না খূঁজে পরিণত চিন্তা র জন্য ওকে ধন্যবাদ জানাই। বড় মাপের মানুষ হ ও মা।,NOT
285,যারা দেশের কাজ করবে বলে শত কষ্ট করে উচ্চ শিক্ষা নিল তারা কি আঙুল চুষবে মহাশয়?,NOT
286,এদের দাবি কি?এতদিন পরে অভিযোগ কেন? ওদের মঞ্চে আজাদী মনুবাদ সে আজাদী আরএসএস সে আজাদী হিন্দুত্ব সে আজাদী স্লোগান কেন উঠছে? কৃষক নেতা মানে আন্দোলনজীবিগুলো কি করছে ওখানে?নতুন পার্লামেন্ট কি সরকার এদের হাঙ্গামা করার জন্য বানিয়েছে?পার্লামেন্ট উদ্বোধনের দিন পার্লামেন্টে হাঙ্গামা করতে যাবার উদ্দেশ্য কি????2023 এ এসে মানুষকে অত বোকা ভাবাটা ভুল..,NOT
287,শোভন মদন বৈশাখী সব দুশ্চরিত্রগুলো একই সাথে রয়েছে,HOF
288,কাকা একটু ওষুধ মাখা হয়ে যাক।,NOT
289,খুব সুন্দর ও পরিণত চিন্তাধারা।এত ভাল ফল করার জন্য ও স্পষ্ট ভাষায় নিজের মতামত ব্যক্ত করার জন্য তোমাকে অভিনন্দন। উজ্জ্বল ভবিষ্যতের পথে এগিয়ে যাও।,NOT
290,"আর যেসব ছেলে মেয়েরা সারা জীবন পড়াশোনা করল চাকরির আশায়, তাদের চাকরিটা কোথায় যাবে, তাহলে আমরা কি সবাই পড়াশোনা করব না করব না পড়াশোনা,",NOT
291,এরা নিজের ঘরের দরজা বন্ধ রাখে দেশের কাঁটাতার খুলতে বলে জঙ্গিদের মদদদাতা আর এদের মত মানুষদের নিয়ে মিডিয়া মাতামাতি করে,HOF
292,এতটুকু বয়সে কত সুন্দর গুছিয়ে কথা বলছে। তুমি জীবনে অনেক উন্নতি করো। রাস্তা হারিয়ে ফেলো না।,NOT
293,এক্ষেত্রে আপনি পিছিয়ে পড়লেন। মানুষ টি মারা গেছেন।,NOT
294,কলকাতার প্রথম নাগরিক ছিল।,NOT
295,এবিপি আনন্দ দ্বায়িত্ত্ব নিয়ে সমাজটাকে অধঃপতনের দোরগোড়ায় নিয়ে যাচ্ছে ।এরা সাংবাদিকতা পেশাটার বারোটা বাজিয়ে দিল । টাকা ছাড়া কিছুই চেনে না।,NOT
296,টাকা দিয়ে চাকরি পাওয়াকে আমি এবং কেউ সাপোর্ট করে না।। কিন্তু এই কথাটা ব্রাত্য বসু ঠিক বলেছে।।। সিপিএম যখন চিরকুটে নিজের পাটির লোকদের চাকরি দিয়ে গেছে সাধারণ মানুষ অন্য পাটির লোকেরা যখন চাকরি পেতো না তখন কোথায় ছিলেন,NOT
297,তোমার ভাষার ব্যবহার করেছ দারুণ এত স্পষ্ট তোমার বাচনভঙগি আমি তো তোমায় প্রশংসা না করে পারছি না তবে নিনদুকের কথায় কান না দিয়ে নিজের ক্যারিয়ার নিয়ে এগিয়ে যাও আমার শুভেচ্ছা রইল অনেক,NOT
298,"কাশফুল দিয়ে বালিশ শিল্প,চপ শিল্প ,এখন আম দৈ ও আম সন্দেশ শিল্প।",NOT
299,কাকা ঘাস মাখা হবে,NOT
300,শান্তির ছেলে একেবারে,HOF
301,"একটা রাজ্যে দু-দুটো হাইকোর্ট ! তারপরে রাজ্যে পঃবঙ্গের জন্য সুপ্রিম কোর্টের দাবী উঠবে । তারপর ভারত থেকে পঃবঙ্গ আলাদা হতে চাইবে । চাওটাই স্বাভাবিক, কারণ কেন্দ্র সরকার তো ""অন্ধ ধৃতরাষ্ট্র""। পঃবঙ্গ চলছে ""যেমন খুশী সাজো , যা খুশী করো""।",NOT
302,"এদের লজ্জা করেনা, এই জুটি সমাজের এবং যুব সমাজের লজ্জার কারণ।",HOF
303,চোর চোর মাসতোতো ভাই।এরা সবাই চোর।,HOF
304,এরা বঙ্কিমচন্দ্র চট্টোপাধ্যায় এর বাবু মানুষ।,HOF
305,এটা তো কোন লজ্জার বিষয় নয় কারণ এর আগে বামফ্রন্ট এটা শিখিয়েছে।।,NOT
306,আমি মুসলিম হয়ে বলছি এই মেয়ের বিরুদ্ধে উপযুক্ত ব্যবস্থা নেওয়া হোক,HOF
307,দো মালি এক ফুল 🤣🤣🤣🤣😃😃😃,NOT
308,চরিত্রের দোষ কোথায়।।।??? পুরো শরীরের নারিভূরি সব বিষাক্ত।।। এবার মদনের ক‍্যারিয়ারটার সর্বনাশ করবে।।।😄😄😄,HOF
309,শ্রী ঘরে যাবার জন্য রাস্তা তৈরি নিজেই করছেন,NOT
310,"Plz বিচ্যুতি পাতা মাখা টা হয়ে যাক,তারপর যা হোক হবে।",NOT
311,"বলি দিদি অনেক রেসিপি তো বলেছেন,এবার আপনার চপ দিয়ে মিষ্টির রেসিপি টা বললে খুবই উপকার হয়।",NOT
312,বাড়ির লোককে খবর দিন তারপর একটা বড় নাভি দিয়ে নিচে ধাক্কা মেরে বাড়ির লোকের সামনে ফেলুন তখন বুঝবে মজা কাকে বলে 😂,HOF
313,"এখানে লোক টা কে দোষ না দিয়ে একবার মে টির রুচি বোধ নিয়ে ভাবুন,কেও এলাউ না করলে এতটা কি হয়?",HOF
314,"ভীষণ ভালো লাগলো। তোমার দৃষ্টিভঙ্গি, যুক্তিপূর্ণ মতামত, আর তার স্বচ্ছ প্রকাশ । এগুলিকে সঙ্গে নিয়ে এগিয়ে চলো । শুভকামনা রইল 🌹",NOT
315,তুমি সমাজের ই ব্রাত্য বুঝলে,NOT
316,"বলাৎকারী আর মদের বিরুদ্ধে কথা বলবেন না। এদের সমর্থনে প্রচুর লোক বেরিয়ে পড়বে। আসল কথা হোল বর্তমান ভারত বর্ষের প্রতিটি রাজনৈতিক দলে চোর , বলাৎকারী, খুনি, গুন্ডারা নেতা হয়েছে। আর আমরা হয়েছি তাদের অন্ধ ভক্ত।আমাদের বিবেক মনুষ্যত্ব রাজনৈতিক দলগুলোকে সমর্থন করতে গিয়ে হারিয়ে গেছে।",HOF
317,এই রকম যদি কোন হিন্দু বলত তাহলে হয়ত অনেক কিছু হয়ে যেত। আমাদের কিছুই বলার নাই। 😭😭😭😭😭,NOT
318,এটি কলিযুগের সঠিক লেংটা মন্ত্রী ।,HOF
319,"কোনো রকমের political correctness এর জন্যই যোগ্যতামান এর সঙ্গে কম্প্রোমাইজ করলে তার ফলাফল কতোটা ভয়ঙ্কর হতে পারে, তার প্রকৃষ্ট উদাহরণ। তবে, এসবের পরেও আমরা এগুলো স্বাভাবিক বলেই ধরে নেবো। 🙂",NOT
320,এই ভদ্রলোক শুনেছি অধ্যাপক। একে কে চাকরী দিলো রে বাবা! এ তো ক্লাস ফোর পাশ নয় মনে হচ্ছে।,NOT
321,"চোরদের ই গায়ে লেগেছে তোমার কথা। তাই এই আক্রমণ। তুমি প্রথম থেকেই সঠিক কথা বলেছো। তবে প্রথম দিনের তোমার মন্তব্য শুনেই শঙ্কা ছিল এই কদর্য বাংলায় সবই তো রাজনীতির আঙিনায় টেনে নিয়ে যায়। তোমার জন্য তাই শঙ্কা ছিল। তুমি তো কোন দল বা কারো কথা বলনি কিন্তু যাদের লাগার তাদেরই গায়ে লেগেছে,কারণ তারা জানে আমরা চোর,দুর্নীতিবাজ,তাই শুধু তাদেরই গায়ে লেগেছে ,তাই আক্রমণ করছে। বাক স্বাধীনতায় তালা লাগাচ্ছে।",NOT
322,বোকা চোদা শিক্ষার পিছন মেরে দিচ্ছে।,HOF
323,"এই video এখন যদি মন্ত্রিবাবুকে দেখানো হয় বলবে যে না না এসব মিথ্যে, আমার বিরুদ্ধে চক্রান্ত করা হচ্ছে আর এর পরও যদি যুক্তি দিয়ে অনেক প্রশ্ন করা হয় তাহলে তো 100% surely বলতে পারি উনি বলবেন যে cpm যখন করেছে কংগ্রেস যখন করেছিল তখন দেখেননি কেনো,, এরা এই ভাবে কাদা ছোড়াছুড়ি করবে লোক দেখিয়ে তারপর লোক চক্ষুর আড়ালে হাঁটুর বয়সী মেয়েদের রক্ষিতা করে পুষবে আর opposition এর নেতার সাথে বসে গ্যালন গ্যালন মদ গিলবে পাবলিকের পিছন মেরে",HOF
324,"তুই যখন সিরিয়ালে কাজ করতিস তখন দেখেছিলাম সিরিয়ালে তুই একটা গাধার রোল করছিস, তোর ওই সিরিয়াল বৌ তোকে যেদিকে পিটিয়ে নিয়ে যাচ্ছে তুই সেই দিকেই যাচ্ছিস, আর আজও ওই গাধার মতোই পথ চলা অভ্যাসটা রয়ে গেছে",HOF
325,গানজা গানজা 🚬,NOT
326,"দেশের জন্য যদি ভালো কিছু এক সৈনিক করে, সে যদি বিজেপি বিরুদ্ধে কথা বলে সে একজন দেশ দ্রোহী",NOT
327,এসব নির্লজ্জ্ব মন্ত্রী কি করে এভাবে বেআইনি কথা বলতে পারে। দলের ছেলেদের কোটার চাকরি হয় প্রথম শুনলাম। মন্ত্রী হলে যা ইচ্ছা তাই করা যায় এই শিক্ষাটা নিলাম।,NOT
328,চট্টগ্রাম থেকে ঢাকায় আসার সময় পুরো পর্বটি শুনলাম এক নতুন রোদ্দুর কে চিনলাম খুবই সুন্দর একটি পর্ব পরেরবার চন্দ্রিল ভট্টাচার্যকে আনার অনুরোধ রইলো,NOT
329,এই হলো শিক্ষা মন্ত্রী চোর চোর চোর তৃণমূলের সবাই চোর,HOF
330,A B P Ananda এত অর্থের দরকার যে এইসব Post করছেন😢 এইগুলো না দেখিয়ে যারা অর্থের অভাবে খেতে পারছেনা তাদের দ‍েখান সুমনবাবু🙏,NOT
331,"সময় মতো ঈশ্বরের কাছে থেকে বিচার পেয়ে যাবি অপেক্ষা কর,,,মাফ চাওয়ার সুযোগ পাবি না।",HOF
332,সবকটা চরিত্র বান ও চরিত্রবতী.......,NOT
333,লজ্জা থাকলে এই সব সামনে বসে শোনা কতোটা কষ্টের ?,HOF
334,ও ঝাপ দেবে না সিয়ানা পাগোল 😀😀 ওকে রদূরে বসে থাকতে দেন ঠিক একা একা নেবে আসবে 😀😀,HOF
335,এই পাঁঠার অধীনে অনেক পাঁঠি আছে। ইডি সেই পাঁঠিগুলোকে বার করে জেলে ঢোকাক।,HOF
336,শোভন বাবু আপনার বাগানে বাজপাখি এসেছে পজাপতি আগলে রাখুন নইলে ছো মেরে নিয়ে যাবে কিছুই করতে পারবে না কিন্তু।,NOT
337,"চোর, চিটিংবাজ, লম্পট, চরিত্রহীনের সহবস্থান গুলো থেকে ABP আনন্দ বেরোতে পারছে না।",HOF
338,সামনে কলেজে মদ মাখা শুরু করো.,NOT
339,দেখো বাংলার ভাই বোনেরা,NOT
340,"সাবাশ,,, আল্লাহ তোমাকে আরো উচিত কথা বলার তৌফিক দান করুক",NOT
341,"এই বাচ্চা মেয়ে তার বাচনসইলি আমাকে অভিভূত করেছে,,সত্যি মেয়েটা কৃতি স্থান অধিকার করার জায়গা রাখে,, তুমি আর ও অনেক বড়ো হও,",NOT
342,এইসব দুশ্চরিত্র প্রিন্সিপাল কলেজের কত কোটি টাকা লুটেছে তদন্ত করলেই বেরিয়ে আসবে l,HOF
343,"সেলুকাস বিচিত্রর দেশ,,🤪🤪🤪🤪🤪",NOT
344,"লোকটা এই জিনিসটা যদি এনজয় করতো, তাহলে এমনটা হতো না। আসলে সবকিছু আমাদের ভাবনার ওপর নির্ভরশীল। ওনার উচিত ছিলো ভিডিও করতে আসা ইউটিউবার দের বলা যে 5000 টাকা ফেলে তারপর ভিডিও করা বা ইন্টারভিউ নেওয়া যাবে। তা না করে, মাথা গরম করে নিজে অসুস্থ হয়ে পড়লো, বিষয়টাকে এনজয় করলে এমনটা হতো না।",NOT
345,"আমাদের টিভি চ্যানেল গুলো কী কানা? নাকী সবাই বিকিয়ে গেছে? কুস্তি গীর দের কোনো খবর করেনা,",HOF
346,"ঠিক এই রকম বাজে মন্তব্য যদি কোনো হিন্দু ব্যাক্তি মুসলিমদের বলতো, তার কয়েক ঘণ্টার মধ্যেই তাকে গ্রেফতার করা হতো। কিন্তূ এই মেয়েটির কোনো প্রকার শাস্তি এখনও হলো না। তাহলে বুঝতেই পারছো আগামি দিনে হিন্দুদের আর কি কি সহ্য করতে হতে পারে। দেখা যাবে আর কয়েক বছর পর নিজেদের অস্তিত্ব টিকিয়ে রাখার জন্য শেষে হিন্দুদের দেশ ছাড়তে হচ্ছে। এখনও সময় আছে, (জাগো হিন্দু জাগো)",HOF
347,কুশিক্ষা মন্ত্রী,HOF
348,যাদের মা একটা আর বাপের ঠিক ঠাকে না তাদের কাছে এর থেকে ভালো কিছু আশা করা যায় না। ওর সাজাহান বাপ তাজমহল বানিয়ে গেছে ওর মা ওকে জানায় নি।,HOF
349,ওই চেয়ারে বসার যোগ্য ব্যক্তি নন।,HOF
350,কেরেলা স্টোরি তে আপনাদের খুব কষ্ট হয়েছে বুঝতেই পারছি ---কুস্তি বীররা বা খেলোয়াড়রা ধণা দিয়েছিল এতে কারোর মাথা বেথা নেই--গনতন্ত্রিক মতে ধণা দিতেই পারে ।। কিন্তু যেখানে নতুন সংসদ ভবন উদ্ধাঘাটন অনুষ্ঠানের জন্য 144 ধারা লাগু করা হয় --সেখানে রোড চেঞ্জ করে অনুষ্ঠানের দিকে এগিয়ে যাওয়া --এটা কি গনতান্ত্রিক ধণা????,HOF
351,সত্যি প্রকৃত শিক্ষিত মানুষের ক্ষত্রে এ রাজ্যের ভবিষ্যৎ দেখে হার্ট এ পেশমেকার বসাতে হচ্ছে।,NOT
352,খালি গায়ে বাবা তার মেয়ের পিঠের ওপর শুয়ে পরেছে .. আহ...কি...মধুর সম্পর্ক......♀️♂️♀️♂️♀️♂️,HOF
353,"এই বয়সে এত পরিণত চিন্তাভাবনা ও বাচনভঙগী ভীষণ আশা দেখাল।এগিয়ে যাও,অনেক শুভেচ্ছা রইল।",NOT
354,"সেই দিন টা কবে আসবে? যেদিন দেখবো, সাধারণ লোকজন এদের জুতিয়ে লম্বা করবে.....🤔🤔",HOF
355,"ওই কথা টাই ঠিক বলেছেন, দুজনেই খুব flamboyent, মানে দুজনেরই চরিত্রের দোষ আছে।",HOF
356,ক্ষতি কী? পরকিয়া তো আইন সম্মত! কে কী খাবে? কে কোন দেবতাকে ডাকবে? কে কাকে ভালোবাসবে? কে কোন ড্রেস পরবে সেটা তার ব্যাক্তিগত ব্যাপার! তাতে আমার বাপের কী?,NOT
357,পুরো শেষ পশ্চিমবঙ্গ.....,NOT
358,যারা আন্দোলন করছে এরা সবাই হিন্দু। আর বিজেপি নিজেদের হিন্দুবাদী সংগঠন বলে দাবি করে। অথচ বিজেপি বা প্রধানমন্ত্রীর কোনো রকম সাপোর্ট এরা পেল না। এখান থেকেই বোঝা যায় বিজেপির হিন্দু প্রেম আসলে শুধু ব্রাম্ভন্যবাদ। অন্য জাতির সবাইকে এরা পায়ের নীচেই রাখতে চায়।,HOF
359,যেখানে এই ধরনের রুগী থাকে সেখানে ঘরে জানালার গ্রীল লাগানো থাকেনা কেনো?,NOT
360,এই লোক গুলোকে উলঙ্গো করে পিপড়ের উপরে বসানো দরকার....!!🤣🤣🤣,HOF
361,"বাবা মেয়ের সম্পর্ক মধুর। সেটা আর কালিমালিপ্ত না করলেও চলবে। মেয়ে মেয়েই থাকে, কিন্তু সেই মেয়ের যখন বয়স হয় তখন.........!! যাক ওনার নিজের মেয়ের সাথে ওই রকম ছবি আছে কি ??",NOT
362,একজন শিক্ষিকা যদি সমাজে এই উদাহরণ তুলে ধরেন তবে সমাজ কোন পথে টা আর বলার অপেক্ষা রাখে না। A B P ...... আনন্দ ! আপনাদের কে ধিক্কার জানাই এমন বিষয় কে সংবাদ হিসাবে তুলে ধরার জন্য,HOF
363,দিল্লির আন্দোলনরতের এই ভাবে তুলে দেওয়ার কায়দা যদি কোলকাতার আন্দোলনরতদের উপর হয়!!!!!!তিনটি দলের নেতারা কী বলবে?????? দিল্লির ঘটনা নিয়ে তাদের সেরকম কিছু বলতে শোনা যাচ্ছে না। শুধু তৃণ আর এস ইউ সি মাঠে নেমেছে।।।,NOT
364,"কাকু হিরো আলম কে মাখা টা শিখিয়ে দাও। বা***-***আ ,মাখাতে আর দেখতে সব নেট শেষ।",HOF
365,নেতা মানার আগে নেতা চিনে নিন আর খবর শোনার আগে চ্যানেল চিনে শুনুন। ভারামির সীমা থাকা উচিত।,NOT
366,"ভাইরালের মধ্যে প্রচুর ভাইরাস,,,, সাবধানে কাকু,,",NOT
367,"ওরা হলো সেই মহাপুরুষ, যাদের জন্য এই সোনার বাংলার এই অবস্থা।।",NOT
368,"পশ্চিমবঙ্গের বাঙালি হিন্দুদের জন্য ভালো দিন আসতে চলেছে৷ পশ্চিমবঙ্গ যে বাংলাদেশ হতে আর বেশি দিন বাকি নেই এতো তারই আভাস৷ কিছু তো বলা যাবে না এদের ওপর আবার এদের মমতাময়ী মায়ের হাত আছে৷ প্রতিবাদ করলেই তুমি সাম্প্রদায়িক ,বিজেপি, আর এস এস এর দালাল আরো কত কি বলবে ৷ আর সমস্ত লিবারেল সেকু মাকু এই বেলায় চুপ থাকে।",NOT
369,আবার কী হলো? মাঝে মাঝেই চাগিয়ে ওঠে আবার বসে পড়ে। কেনই বা ওঠে কেনই বা বসে কে জানে!,NOT
370,বাবা মায়ের দেওয়া নাম যথার্থ সার্থক ۔۔۔যারা হয়তো একটি পঙ্গু শ্রেণীকে বুদ্ধি জিবি ভেবে তাদের কাছ থেকে অনুপ্রেরণা চায় ۔۔তার থেকেও এই বয়েসে সমাজ সংস্কৃতি সন্মোধ্যে যে পারিপার্শিক জ্ঞান অনুভব করে বলতে শিখেছে এদের কাছে আমি মনে করি তথাকথিত লুকিয়ে থাকা ছাতা বদল মানুষ গুলি নগন্য ۔۔,NOT
371,শিক্ষামন্ত্রী নিজে অশিক্ষিত নিজে সিকার করল।,HOF
372,আরে পড়াশোনা না করে সুগার ড্যাডি বানিয়েছে। 😂😂😂😝😝,NOT
373,"এরা হচ্ছে অপদার্থ বুদ্ধি বিচি, জিবি।",HOF
374,যে নারী নিজের ধর্ম সম্বন্ধেই অজ্ঞ সেই নারীর মুখে নিজের ধর্মের সম্বন্ধে মন্তব্য সোনা নেহাতই হাস্যকর। যা মন্তব্য এ করছে তা কোনো ধর্মীয় শিক্ষা নয়.... এত অন্যায় কথা বলে এ নিজের ধর্ম এবং নিজের ধর্মীয় শিক্ষার অপমান করছে।😂,NOT
375,"অসাধারণ। ভানু, জহর, রবি, অনুপ কি এনার কাছে পাত্তা পায়! একেবারে হাতে গরম।",NOT
376,যাই হোক আমরা গরু কে রুটি খাওয়ানো লোক আর তোমরা রুটির সঙ্গে গরুর মাংস খাওয়া লোক এটাই পার্থক্য আমাদের আর তোমাদের মধ্যে আর কিছু বলার নেই । জয় শ্রী রাম,HOF
377,একজন মহাপুরুষের কথা মনে পরেগেলো যে ..যখন তোমাকে কেউ পেছন দিক থেকে টেনে ধরে নামাবার চেষ্টা করবে বা তোমাকে নিয়ে বেশি কাটাছেরা করবে তখন তুমি যানবে তুমি ঠিক দিকেই যাচ্ছ।,NOT
378,"মূর্খ লোককে কিছু বোঝানো বৃথা,,,প্রথমত সে নিজের ধর্মকেই সন্মান করতে পারে না,,,,পৃথিবীতে কোনো ধর্মেই বলা নেই অন্যের ধর্মকে অপমান করা,,,,,আর হা কি বলে আমরা কালিমা কে দেখেছি কিনা,, আপু তুমি কি আল্লাহকে দেখেছিলে,, বেয়াদব কোথাকার আসিও সব বুঝে দিব সনাতন,পুরাতন, চির সত্য,,,,",HOF
379,ক্লাস নিলে আপনাদের সমস্যা কি🤣🤣🤣 মা বউয়ের সামনে🤣🤣🤣🤣,NOT
380,চপ শিল্পের পর আম মৃষ্টি শিল্প এর পর পাটালি শিল্প,NOT
381,চাকরি করার জন্য শিক্ষার যোগ্যতার কোনো প্রয়োজন নেই আমাদের রাজ্যে। এই কথাটা কে বলছে আমাদের শিক্ষা মন্ত্রি 😁😁,HOF
382,"তোমার মেয়ের সঙ্গে হয়েছে তুমি তো এখন দোষ ঢাকতে চাইবে, খালি গায়ে মেয়ের সঙ্গে সত্যি খুব ভাবার বিষয়",NOT
383,বাদরের গলায় মুক্তো হার দিলে যা হয়।,HOF
384,এটা পশ্চিমবঙ্গে লজ্জা আছে এইরকম একজন শিক্ষা মন্ত্রী আমরা পেয়েছি। যখন মন্ত্রী বলছে কারো পা চাটে চাকরি পাওয়া যায় কি হতে পারে??,HOF
385,"আমি এত দুর পড়াশোনা করেছি, কিন্তু কখনো এরকম পরিস্থিতি আসে নি আমি কেন, কোনো অন্য ছাত্র/ছাত্রী কেও দেখি নি যে প্রিন্সিপালের মত এত বড়ো পোস্টের মানুষ, কলেজের এত student এর মধ্যে একজন কে বেছে নিলেন যার সাথে পোশাক হীন ভাবে ছবি তোলা যায় ?",NOT
386,"সনাতন ধর্মে,,, নারী কে দেবীর সম্মান দেওয়া হয়ে থাকে।,,, সেটা হোক কারো,,মা,, বোন অথবা বউ,,,আর ইসলাম তো শান্তির ধর্ম,,, কিন্তু তবুও কোনো নারী কে,,, নিজের ধর্মের প্রতিষ্ঠানে প্রবেশ নিষেধ,, করা হয়েছে।,,,তাই অন্য ধর্মের কোনো নারী কে,,, গালাগালি দিয়ে নিজের,, পাপের বোঝা বাড়িয়ে ভুল করবো না।,,, ভুল ত্রুটি হলে সবাই ক্ষমা করবেন 🙏😊😌",NOT
387,তোর পুটকিতে ভরবো চাকরি,HOF
388,অপদার্থ শিক্ষা মন্ত্রী।,HOF
389,ভোঁদাংশুর কপালে ফুল চন্দন পড়ুক। ওর ঐ কথাটা যেন সত্যি হয়…🥴,HOF
390,এগুলো জর্জ সারসের টুল কিট। সুপ্রীম কোর্ট খোলা আছে।শুধুই রাজনীতির প্রপাগান্ডা।CAA এবং কৃষি আন্দোলনের ধাঁচে আরো একবার নাটক।,NOT
391,"ওই চাকরির বেতন টা সাধারণ মানুষের করের টাকা,কোনো পার্টির বাপের টাকা থেকে দেওয়া হয়না।",NOT
392,এবার অন্তত ভোটটা বুঝেশুনে দিন।কারণ আপনার ঘরের ছেলেমেয়েদের নিশ্চয় চাকরির জন্য পড়াশুনা ছেড়ে দেওয়ালে লিখতে পাঠাবেন না।,NOT
393,প্রেরণা বড় বিপদে ফেললে পরের বার থেকে মেরিট লিষ্ট প্রকাশ হবার আগে পুরো পরিবার এর মেরুদণ্ড বিচার করা হবে। চল পশ্চিম বঙ্গে এমন মেয়ে আছে জেনে মন ভালো হল,NOT
394,পশ্চিমবঙ্গের বঞ্চিত বাঙচোত আমরা সাধারণ জনগণ এই দেখে কতো আনন্দ পাচ্ছি,HOF
395,"চাকরিটা কী মন্ত্রীর পৈত্রিক সম্পত্তি যে উনি ন্যায্য কোটার চাকরি বলে নির্লজ্জভাবে গলা ফাটাচ্ছেন? উনি রাজ্যের শিক্ষামন্ত্রী, ভাবতেই শিউরে উঠতে হয়।",HOF
396,দু পয়সার মিডিয়া এই পোষ্টের মাধ্যমে নিজেকে প্রমাণ করেছেন সত্যি তার এই নামের যোগ্য ।,HOF
397,তোর বাপের চাকরি আগামী নির্বাচনের পর দিস,NOT
398,ন্যাকামোর একটা লিমিট থাকে লজ্জা করে না দুটো জেলে আর এরা তিনটে বাইরে রঙ্গ দেখাচ্ছে।,HOF
399,এগুলো কি কুরুচিকর ঘটনা...তাও আবার এবিপিপ্রচার করছে..চ্যানেলটার জঘণ্য পরিস্থিতি,HOF
