Id|sentence|span|bio
544|@user No , we should cover their transportation across the southern border & let them go on their way . #BUILDTHEWALL #deportALLaliens #noAnchorBabies #NODACA #NoDreamers #NOcitizenship #NoChainMigration #NoVisaLottery #secureOURborder |{'start': [20, 21], 'end': [20, 21]}|O O O O O O O O O O O O O O O O O O O O B I O O O O O O O
545|The protesters banged in droves on the glass for the entire time I was in North Korea , Mao's grandson Mao Xinyu appeared at a meeting in Beijing on Friday . There is no review requirement under the Constitution to #BuildThatWall as a national defense issue - #BuildTheWall |{'start': [40, 47], 'end': [40, 47]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O B
546|Pro Tip - Fuck bitches in their 30 ' s ... No one wants them so they're easy and they're also experienced|{'start': [3], 'end': [4]}|O O O B I O O O O O O O O O O O O O O O O O
547|Can someone give @user a slap across the head #mkr #bitch|{'start': [5, 9, 10], 'end': [5, 9, 10]}|O O O O O B O O O B I
548|lol that why i wear them i have had many confrontations with the pos muzzies and black panther scum|{'start': [9], 'end': [18]}|O O O O O O O O O B I I I I I I I I I
549|dad should have told the muzrat whore to fuck off and went in anyway|{'start': [5], 'end': [9]}|O O O O O B I I I I O O O O
550|i am surprised blacks managed to get off their lazy nigger asses to vote|{'start': [9], 'end': [11]}|O O O O O O O O O B I I O O
551|Its disgusting they these foreigners come over here , stamp their feet and jump above good Irish families and get what they want . |{'start': [1, 4, 16], 'end': [1, 4, 16]}|O B O O B O O O O O O O O O O O B O O O O O O O
552|Stfu you taking all this shit and I still make more money than you do you broken depression pussy ass bitch|{'start': [0, 5, 16], 'end': [0, 5, 20]}|B O O O O B O O O O O O O O O O B I I I I
553|We all know that when their are too many ethnics , the neighbourhood soon turn ' s into a slum . |{'start': [9, 19], 'end': [9, 19]}|O O O O O O O O O B O O O O O O O O O B O
554|Islam is camouflaged as a religion, but it has extremist doctrines. This false religion is spreading in our country. This is enough!|{'start': [0, 12], 'end': [10, 15]}|B I I I I I I I I I I O B I I I O O O O O O
555|If she's over 18 and owns anything Hello Kitty ... Get that bitch in bed , she knows things that you didn't even know existed |{'start': [12], 'end': [12]}|O O O O O O O O O O O O B O O O O O O O O O O O O
556|It ' s amazing how stupid liberals are , even after being nearly murdered for being white Mr . Begley is still a ridiculous * * * * * * - loving fool . |{'start': [6, 16, 32], 'end': [6, 16, 32]}|O O O O O O B O O O O O O O O O B O O O O O O O O O O O O O O O B O
557|jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation|{'start': [0, 19], 'end': [11, 34]}|B I I I I I I I I I I I O O O O O O O B I I I I I I I I I I I I I I I
558|you seem like the type to have a rape kink ? ummmm well ok bitch @url|{'start': [8, 14], 'end': [9, 14]}|O O O O O O O O B I O O O O B O
559|We need to deport all people immediately , that or stop letting more in and sterilize the ones here , that will fix the problem . |{'start': [3], 'end': [3]}|O O O B O O O O O O O O O O O O O O O O O O O O O O
560|@user Its no different in Canada folks : Access to White people is NOT a human right.It takes twelve Germans to work and pay taxes in order to fund the cost of just one migrant @user|{'start': [10], 'end': [11]}|O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O
561|@user you killed it man great job verbally shoving that kike in the oven you are a fucking hero|{'start': [10, 17], 'end': [10, 18]}|O O O O O O O O O O B O O O O O O B I
562|anyway justine as called max a slur justine has been cancelled max is a free dyke now|{'start': [14], 'end': [15]}|O O O O O O O O O O O O O O B I O
563|I found out something about this chick that was hiding something from me lmao bitch can't hide anything from me fake ass lying hoe|{'start': [14, 20, 23], 'end': [14, 21, 23]}|O O O O O O O O O O O O O O B O O O O O B I O B
564|People will have you believe it is so they can blame other people but it ' s all such a mixed hole , all that breeding with others ... |{'start': [21], 'end': [21]}|O O O O O O O O O O O O O O O O O O O O O B O O O O O O O
565|Gels getting overly emotional about things that don't matter ? Color me shocked ! #WomenSuck|{'start': [14], 'end': [14]}|O O O O O O O O O O O O O O B
566|this is why niggas like that get away with shit u missed the whole fucking point he raped a woman so them telling other women to warn them thats wrong tf shit really irks me|{'start': [3, 14, 17, 30], 'end': [3, 14, 19, 31]}|O O O B O O O O O O O O O O B O O B I I O O O O O O O O O O B I O O O
567|Rape gangs are mostly made of Muslims they are commanded by the Koran and commit sexual violence on thousands of our girls. How can we tolerate this?|{'start': [0], 'end': [21]}|B I I I I I I I I I I I I I I I I I I I I I O O O O O
568|The Pakistani Muslims in the ghettos of Birmingham, Bradford and other cities hate Jews and steal our jobs. They are divided into two classes: Radical Islam class and middle class.|{'start': [12, 24], 'end': [17, 26]}|O O O O O O O O O O O O B I I I I I O O O O O O B I I O O O
569|@user yes now get off twitter , you lame negros should have never learned how to use the Internet |{'start': [8], 'end': [9]}|O O O O O O O O B I O O O O O O O O O
570|Foreign car swerving pot holes bad bitch she from chicago|{'start': [5], 'end': [6]}|O O O O O B I O O O
571|hey leave @user alone his wife may be a horse faced kike but i personally saw chad punch a nigger square in the face at cville for a fat homosexual diabetes pusher he based|{'start': [9, 16, 19], 'end': [11, 16, 19]}|O O O O O O O O O B I I O O O O B O O B O O O O O O O O O O O O O O
572|I stumbled n this by accident Absolute savages and yet you will have all the liberal women saying how great multiculturalism is and we are all the same Le TÃ © lÃ © gramme - France - Montpellier ( 34 ) .|{'start': [15], 'end': [15]}|O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O
573|mandela gave them freedom now it white genocide in south africa you can not take the hood out of the nigger proof|{'start': [20], 'end': [20]}|O O O O O O O O O O O O O O O O O O O O B O
574|Or try yelling * * * * the nigs ya ' ll get suspended , jumped and hopefully some new wn friends or ya ' ll die trying . lol Rohawa its a battle cry . |{'start': [8], 'end': [8]}|O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O
575|@user @user this is why the #establishment is so dead set against us in our effort to #BuildTheWall #BuildThatWall #KAG #KAG2018 #KAG2020|{'start': [17, 18], 'end': [17, 18]}|O O O O O O O O O O O O O O O O O B I O O O
576|I just want all your attention babe stop seeing these other hoes first of all bitch I am legally blind|{'start': [11, 15], 'end': [11, 15]}|O O O O O O O O O O O B O O O B O O O O
577|I wish they ' d all bugger off back to the Sudan , Nigeria , Ethiopia or where ever the hell it is they ' re from and never come back . |{'start': [6], 'end': [7]}|O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O
578|two things racialists dont all grasp racialism does not stop at the racial border it applies within race too to individuals and other subgroups one can be as naive about government capacity as about nigger capacity|{'start': [34], 'end': [34]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O
579|I could n't imagine living in those conditions with drugs and filthy negros everywhere .|{'start': [11], 'end': [12]}|O O O O O O O O O O O B I O O
580|Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!|{'start': [0], 'end': [4]}|B I I I I O O O O O O O O O O O
581|Another day , and another one of @user pedophile Dreamers have raped another little girl . Polk Sheriff : Illegal Alien Arrested for Rape of 8 - Year-Old Girl in Florida #NoDACA #NoAmnesty #BuildTheDamnWall #ThanQ #QAnon @user |{'start': [8, 11, 19], 'end': [8, 11, 20]}|O O O O O O O O B O O B O O O O O O O B I O O O O O O O O O O O O O O O O
582|Bitch mad cuz I nutted quick ... first of all yo pussy just good so be happy|{'start': [0], 'end': [0]}|B O O O O O O O O O O O O O O O O
583|@user I'd like to rape the bitch that posted that .|{'start': [6], 'end': [6]}|O O O O O O B O O O O
584|I hope that black creep does not get off easy .|{'start': [3], 'end': [4]}|O O O B I O O O O O O
585|@user @user @user @user bro the world knows the pak is home to many un designated terrorists including osama bin laden same on you as kill all your minorities but in india muslims are happy many are educated rich and peaceful not like paki muslims only spreading hatred|{'start': [25, 43], 'end': [28, 44]}|O O O O O O O O O O O O O O O O O O O O O O O O O B I I I O O O O O O O O O O O O O O B I O O O
586|@user post telling how you love hooking up with a filthy slut so you and that whore joke about her man @url|{'start': [10], 'end': [11]}|O O O O O O O O O O B I O O O O O O O O O O
587|Went outside for recess , and noticed two niglet boys being hostile and ready to rumble , and I figured right that they jumped on each other after returning to class , grabbing Niglet Number One , hauling him outside and pressed that panic button again . |{'start': [33], 'end': [33]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O
588|@user @user is an evil hate whitey racist who thinks Delbert Belton deserved it . @user @user @user|{'start': [5], 'end': [7]}|O O O O O B I I O O O O O O O O O O
589|@user GOD BLESS ICE , THANK YOU FOR GETTING ILLEGAL ALIENS OUT OF OUR SOVEREIGN COUNTRY AND OFF OUR STREETS . #NoSanctuaryStates #NoSanctuaryCities #NoDACA #NoAmnesty #NoCommunists #NoSocialism #AmericaFirst #AmericansAreDreamersToo #MAGA #KAG |{'start': [9], 'end': [10]}|O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O
590|miley cyrus psycho phase get it bitch|{'start': [6], 'end': [6]}|O O O O O O B
591|Looks like homecoming is soon . Let the ' Girls fucking over Guys ' begin ! #LameExcuses #WomenSuck|{'start': [10, 17], 'end': [10, 17]}|O O O O O O O O O O B O O O O O O B
592|@user @user no one inayah a retarded faggot rather have porridge that the reason u numpty you are big gay|{'start': [6, 15, 18], 'end': [7, 15, 19]}|O O O O O O B I O O O O O O O B O O B I
593|the muzzie looks miserable and ugly|{'start': [1], 'end': [1]}|O B O O O O
594|i m from where some niggas hustle some niggas scam and some niggas just feel like they just gone get aggressive and take|{'start': [5, 8, 12], 'end': [5, 8, 12]}|O O O O O B O O B O O O B O O O O O O O O O O
595|south of the md is just as bad atlanta memphis nashville tampa jacksonville charlotte houston dallas nawlins etc the ol south is a memory you guys have been tossed away for blacks and muzzies|{'start': [31], 'end': [33]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I
596|Good Job @user No Illegal Alien Can Think They are Welcome in the U.S Burdening U.S Taxpayers Find them , Arrest Them and #SendThemBack #Trump #MAGA #RedNationRising |{'start': [4, 23], 'end': [5, 23]}|O O O O B I O O O O O O O O O O O O O O O O O B O O O
597|Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.|{'start': [7, 18], 'end': [7, 21]}|O O O O O O O B O O O O O O O O O O B I I I
598|niggas is faggots bidding like that if u ask me|{'start': [0], 'end': [2]}|B I I O O O O O O O
599|@user Your lady probably is a bitch though . Most women are bitches and whores . A woman who wants you to @url|{'start': [6, 12, 14], 'end': [6, 12, 14]}|O O O O O O B O O O O O B O B O O O O O O O O
600|twomad was having too much fun in overwatch he said live on stream hola my niggers|{'start': [15], 'end': [15]}|O O O O O O O O O O O O O O O B
601|@user the fuck r u talking about I told u once and am going to tell u against nigga I love white bitch gtf bro|{'start': [2, 21], 'end': [2, 23]}|O O B O O O O O O O O O O O O O O O O O O B I I O
602|i get what your saying and there are thousands of non irish here who will never contribute anything to this land .|{'start': [10], 'end': [11]}|O O O O O O O O O O B I O O O O O O O O O O
603|#MKR @user I hope @user ( The cat ) and @user lose and leave the show . @user is a nasty piece of work who can't win fairly|{'start': [0, 20], 'end': [0, 23]}|B O O O O O O O O O O O O O O O O O O O B I I I O O O O
604|trulay a pathetic unfunny zhid cunt|{'start': [5], 'end': [5]}|O O O O O B
605|Muslims do not have nothing useful that can enrich our culture.|{'start': [0], 'end': [5]}|B I I I I I O O O O O
606|first goes to bitch ass janelle . FUCK YOU MESSY MF ASS BITCH i literally was on a call with her and her dumb ass twisted my words and ran to tattle on me to ari . like it legit made her pussy wet to go and talk shit abt me so fuck u ill come beat ur ass thats why u stole a listers|{'start': [3, 4, 7, 23, 42, 48, 52], 'end': [3, 4, 12, 24, 42, 48, 52]}|O O O B I O O B I I I I I O O O O O O O O O O B I O O O O O O O O O O O O O O O O O B O O O O O B O O O B O O O O O O O O O O O O
607|@user Ok u fat precious lookin ass bitch , u big fat back at the barnyard lookin ass bitch . I can fix my grammar but u still fat |{'start': [6, 10], 'end': [7, 12]}|O O O O O O B I O O B I I O O O O O O O O O O O O O O O O
608|I think that Muslims can be a problem for our society, because they do not want to conform to our costumes. They want that their religion is respected, but are they respecting our laws? One day they will oppress us with the Sharia and polygamy.|{'start': [3, 38], 'end': [10, 44]}|O O O B I I I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I I I
609|bro nosey ass bitches|{'start': [1], 'end': [3]}|O B I I
610|@user you all need to take this nigger activity off my tl|{'start': [7], 'end': [7]}|O O O O O O O B O O O O
611|I will always love you & Ken though @user I really admire you & feel like a mother tiger with you ! I could of jumped through the TV when that skank slapped your face ! That upset me ! A lot ! ! !|{'start': [31], 'end': [31]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O
612|@user Hey illegal alien invader Hugger @user #StopTheInvasion #DeportThemAll #NoAmnesty #BuildTheWall|{'start': [2], 'end': [3]}|O O B I O O O O O O O
613|You pick the guy thats a total douche to you over the one whose good to you . Got it . Makes perfect sense ! #WomenSuck|{'start': [7, 25], 'end': [7, 25]}|O O O O O O O B O O O O O O O O O O O O O O O O O B
614|you are defending this dumb shit for creating the illusion that i should somehow care because i was raised mormon or that i am a kike because i was born into a mormon family oblige me with that retard level logic and just add to the dumpster fire|{'start': [4, 25, 38], 'end': [5, 25, 40]}|O O O O B I O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O B I I O O O O O O O
615|next bitch that cheat on me getting pimped out , you wanna be a hoe bout shit so we gon make this money |{'start': [1, 14, 16], 'end': [1, 14, 16]}|O B O O O O O O O O O O O O B O B O O O O O O
616|Why do so many filthy wetback half-breed spic savages live in #LosAngeles ? None of them have any right at all to be here .|{'start': [4], 'end': [5]}|O O O O B I O O O O O O O O O O O O O O O O O O O
617|i gained followers from this kike lovers post thanks faggot|{'start': [5, 9], 'end': [5, 9]}|O O O O O B O O O B
618|that niggah do not do nothing but make you cry girl you dating a onion|{'start': [1], 'end': [1]}|O B O O O O O O O O O O O O O
619|biggest unforced cultural error of the last few years couple of ugly dykes suing christian bakery for refusing to make them a gay wedding cake any potential wedge between trump and the religious right was healed then and there nice work ladies trumpslide meme war maga|{'start': [11], 'end': [12]}|O O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
620|Islam is totalitarian: Muslims want to invade every country. If we want to live in a multicultural world we need some countries without Islam.|{'start': [0], 'end': [8]}|B I I I I I I I I O O O O O O O O O O O O O O O
621|Absolutely perfect keep the whole lot of Illegal Aliens out , now maybe libtarded snowflakes will be happy they are not being split up ? #maga #kag #nodaca #noamnesty #BuildThatWall #BuildTheWallNow #BuildTheDamnWall #BuildTheWall |{'start': [7, 29, 30, 31, 32], 'end': [8, 29, 30, 31, 32]}|O O O O O O O B I O O O O O O O O O O O O O O O O O O O O B I I I
622|white washed asians are so stuck up and rude fuck you ching chong china lady|{'start': [9], 'end': [14]}|O O O O O O O O O B I I I I I
623|Im so sick of this hoe speaking on me bitch you dont know SHIT STFU|{'start': [5, 9, 13], 'end': [5, 9, 14]}|O O O O O B O O O B O O O B I
624|damn i d eat this girl up but girls be fake gay that the worst|{'start': [7], 'end': [11]}|O O O O O O O B I I I I O O O
625|To the minister: start counteracting terror and crisis caused by Islam! Stop burying your heads in sand.|{'start': [3], 'end': [10]}|O O O B I I I I I I I O O O O O O
626|#IllegalAliens are robbing #Americans of retirement who do you think pays for their healthcare and emergency room visits my #ObamaCare costs me $ 36,000 per year because of them @user @user @user @user @user @user #BuildThatWall |{'start': [0, 35], 'end': [0, 35]}|B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B
627|I cannot stand girls that ALWAYS have to have a boyfriend . #AttentionWhores #WomenSuck|{'start': [12, 13], 'end': [12, 13]}|O O O O O O O O O O O O B I
628|#Immigration #IllegalAliens #BorderSecurity #BorderPatrol #MigrantsHow noble of #JohnLegend to stand up against the evil #Republicans ... @user|{'start': [0], 'end': [2]}|B I I O O O O O O O O O O O O O O
629|The only purpose of Islam is to dominate and destroy us! Being multicultural has nothing to do with it.|{'start': [2], 'end': [10]}|O O B I I I I I I I I O O O O O O O O
630|people with talent something you paki street shitters lack|{'start': [5], 'end': [7]}|O O O O O B I I O
631|No white person should send a single penny or lift a single finger to help them .|{'start': [1], 'end': [1]}|O B O O O O O O O O O O O O O O O
632|Stop race mixing and discourage those who practice it .|{'start': [5], 'end': [5]}|O O O O O B O O O O
633|@user @user @user We don't want our countries to be over run with rapefugee parasite Moslem scum . You already have 57 countries , stay in those countries . Those countries suck because they are full of your type . #StopIslam #BanSh |{'start': [13, 40], 'end': [16, 40]}|O O O O O O O O O O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O O B O
634|fuck you all dykes|{'start': [0, 3], 'end': [1, 3]}|B I O B
635|how about donating flights to deport the Invaders back to their homeland . #StopTheInvasion #DeportThemAll @url|{'start': [5, 14], 'end': [5, 14]}|O O O O O B O O O O O O O O B O
636|@user Lmfao shut the fuck up with your Brentwood Academy havin ass . Yall have one of the worst QBs in the league as far as TD / INT ratio go but you hate on every other quarterback ... Sit your pussy ass down and get swept by the Titans again .|{'start': [2, 11, 41], 'end': [5, 11, 42]}|O O B I I I O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O
637|you re not going to tell me to say happy birthday to someone that called me a cunt and a slut within the span of 10 minutes|{'start': [17, 22], 'end': [17, 22]}|O O O O O O O O O O O O O O O O O B O O O O B O O O O
638|@user @user @user Says the supporter of a woman .. @user ... that literally protected & threw every woman under the bus that accused her President husband of rape , affairs , etc . Pleeeeeease , STFU , or educate yourself . |{'start': [28, 36], 'end': [28, 36]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O B O O O O O
639|oh i fucking hate you cuz you a fucking time wasting motherfucker|{'start': [2, 8], 'end': [3, 11]}|O O B I O O O O B I I I
640|The Sunnan Abu Dawud says that if a man has sex with an animal there will be no punishment.|{'start': [0], 'end': [18]}|B I I I I I I I I I I I I I I I I I I
641|If ya bitch ass didnt wish me a happy Birthday then dont ever hit me up again ! You are trash ! Yes I am talking about you hoe !|{'start': [2, 28], 'end': [3, 28]}|O O B I O O O O O O O O O O O O O O O O O O O O O O O O B O
642|Muslims are two-faced, have you ever seen a Muslim protest against Isis or Saudi human right abuses?|{'start': [0, 8], 'end': [2, 16]}|B I I O O O O O B I I I I I I I I
643|him idc what she says i will grab any woman by the pussy and fuck you brownies and fuck you fags and dykes us he a rapist racist homophobe transphobe you all how can you be so unpatriotic can t you see he is bringing america back to her roots us yup he sure is|{'start': [5, 37], 'end': [29, 37]}|O O O O O B I I I I I I I I I I I I I I I I I I I I I I I I O O O O O O O B O O O O O O O O O O O O O O O O O
644|@user @user @user evidence this with links and articles show me a greater number of violated females by white men than mass murdered genocides of females at the hands of muslims muslim men have killed far more females with their misogyny and genocides than white men|{'start': [15, 21], 'end': [16, 45]}|O O O O O O O O O O O O O O O B I O O O O B I I I I I I I I I I I I I I I I I I I I I I I I
645|This white bitch had the fuckin nerve to call me a nigga 👎 when shes the one payin for her lips to get bigga 😂 😴|{'start': [1, 5, 11], 'end': [2, 5, 11]}|O B I O O B O O O O O B O O O O O O O O O O O O O O
646|Muslims have nothing to contribute to our society.|{'start': [0], 'end': [4]}|B I I I I O O O
647|all high level bolsheviks were somewhat kosher the only russians involved were low level muscle golden rule if a kike says it it will almost always be a lie|{'start': [19], 'end': [19]}|O O O O O O O O O O O O O O O O O O O B O O O O O O O O O
648|Cunt drowns Children because she's .. A CUNT ! Woman who feared deportation drowns baby and 5 - year - old @url|{'start': [0, 7, 12], 'end': [0, 7, 12]}|B O O O O O O B O O O O B O O O O O O O O O
649|Women ... Can't live with them ... Can't shoot them .|{'start': [8], 'end': [8]}|O O O O O O O O B O O
650|can grown women stop glorifying being a hoe , y'all don't realize the influence on the young bitches |{'start': [7, 17], 'end': [7, 17]}|O O O O O O O B O O O O O O O O O B
651|I think @user has done a pretty good job of humiliating herself already #mkr|{'start': [10, 13], 'end': [11, 13]}|O O O O O O O O O O B I O B
652|#Democrats Illegal Alien Grand Ma Caught Sneakin in 31 Pounds of Herion from Mexico Proving Illegal Grand Mas Must be deported too ! #Trump #MAGA #RedNationRising Abolish Illegals Keep @user @user #Immigration|{'start': [0, 1, 2, 27, 31], 'end': [0, 1, 2, 27, 31]}|B I I O O O O O O O O O O O O O O O O O O O O O O O O B O O O B
653|fuck the nigger bitches|{'start': [0], 'end': [3]}|B I I I
654|If I could create a disease that wipes out all Black ' s I would .|{'start': [10], 'end': [10]}|O O O O O O O O O O B O O O O O
655|open a new shop somewhere get my son more interested in education ( he hates school ) help mor ein my community try to whiten things up > >|{'start': [14], 'end': [14]}|O O O O O O O O O O O O O O B O O O O O O O O O O O O O O
656|@user well fuck you too hoe|{'start': [2, 5], 'end': [2, 5]}|O O B O O B
657|I considered it being ` ` ethnically cleansed ' ' from my childhood home|{'start': [6], 'end': [6]}|O O O O O O B O O O O O O O
658|@user oh but they do . Then they go around and bitch how all women are stupid golddiggers because they went to @url|{'start': [11, 17], 'end': [11, 17]}|O O O O O O O O O O O B O O O O O B O O O O O
659|I am displeased w what this bitch said about what rape is . @user @user|{'start': [6, 10], 'end': [6, 10]}|O O O O O O B O O O B O O O O
660|sadiq khan a nasty paki muslim said this is part and parcel of life in london and wants all non muslims out of london so he can bring in million more muslims fucked up mps are all for it know thy enemy|{'start': [4, 32], 'end': [4, 33]}|O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O
661|We can turn the cold useless parts of Canada into a dumping ground for Jews and arm the Indians to keep them in line .|{'start': [14], 'end': [14]}|O O O O O O O O O O O O O O B O O O O O O O O O O
662|November 6 IS CLOSE #VoteRed if you support & grieve for victims such as Kate Steinle & Mollie TibbettsVote Dem if you support the illegal aliens who killed them in cold blood #POTUS #MAGA #KAG #GetOutTheVote #RedWave #BuildTheWall #NoDACA #AmericaFirst #ICE #Trump|{'start': [24, 31, 37], 'end': [25, 31, 37]}|O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O B O O O O O B O O O O
663|mane fuck you all kike|{'start': [1, 4], 'end': [2, 4]}|O B I O B
664|Let me show and prove it what these hoes aint doing , let a real bitch do it|{'start': [8, 15], 'end': [8, 15]}|O O O O O O O O B O O O O O O B O O
665|@user Fake News it is not a new Stephen Miller Rule . the Public Charge rule has been part of the U.S #Immigration law since 1882 . Why Should U.S Taxpayers give Welfare to Immigrants and import the World's poor ! #Veterans #Trump #MAGA @user|{'start': [38], 'end': [38]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O
666|Get rid of @user #VoteRed - #BuildTheWall from the Pacific Ocean to the Gulf of Mexico - #NoDACA #NoAmnesty #Deport all illeagles and their families - #ProudAmerican #AmericaFirst #MAGA #KAG|{'start': [6, 19, 21], 'end': [6, 19, 21]}|O O O O O O B O O O O O O O O O O O O B O B O O O O O O O O
667|@user hell naw fuck them bitches serves them right|{'start': [3, 5], 'end': [3, 5]}|O O O B O B O O O
668|Two days ago I tapped out a half asian , half White mongrel who was bigger than me . |{'start': [8, 11], 'end': [8, 12]}|O O O O O O O O B O O B I O O O O O O
669|HAINES CITY , Fla Wilibaldo Garcia an Illegal Alien from Mexico charged with sexual battery on an 8 yr old girl.Garcia has an alias Lorenzo Sipriano with prior criminal history . #MSMSilence #BuildThatWall |{'start': [7, 32], 'end': [8, 32]}|O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O B
670|#BuildTheWallNow Before the Midterm elections @user @user @user @user #MAGA #MakeDCListen #NoAmnesty #NoDACAdeal #MandateEverify #EndChainMigration|{'start': [0], 'end': [0]}|B O O O O O O O O O O O O O O
671|Bitch stfu ? I didnt asked you something , dumbass hoe ? And obsessed ? Shut you dirty ass , cause we all know esme was so obsessed with me that she keeped subtweeting about me LOOOOOOOOL |{'start': [0, 9, 15], 'end': [1, 10, 18]}|B I O O O O O O O B I O O O O B I I I O O O O O O O O O O O O O O O O O O
672|just seen somebody eating a honeybun with cheese on it im getting real tired of you niggers|{'start': [16], 'end': [16]}|O O O O O O O O O O O O O O O O B
673|this lil yid pig should be sued by the million he fucked over with their info and strip him clean of every penny and life in prison dirty lil fuckin snyde rat and i am being nice|{'start': [2, 10, 29], 'end': [3, 12, 31]}|O O B I O O O O O O B I I O O O O O O O O O O O O O O O O B I I O O O O O
674|﻿ Hurray , saving us $ $ $ in so many ways @user @user #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike |{'start': [14, 15], 'end': [14, 15]}|O O O O O O O O O O O O O O B I O O O
675|There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .|{'start': [11, 17, 25], 'end': [12, 17, 25]}|O O O O O O O O O O O B I O O O O B O O O O O O O B O O O O O
676|that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spic|{'start': [11], 'end': [17]}|O O O O O O O O O O O B I I I I I I
677|excited for dam with bitches|{'start': [2], 'end': [4]}|O O B I I
678|smallest amount in the kike bowl|{'start': [4], 'end': [4]}|O O O O B O
679|sorry mate my comment was more so aimed at the self professed kike killer|{'start': [12], 'end': [13]}|O O O O O O O O O O O O B I
680|lmao the vikings suck get these niggas out of our city|{'start': [2, 4], 'end': [3, 7]}|O O B I I I I I O O O
681|Our western civilisation risks to be destroyed by islam.|{'start': [6], 'end': [8]}|O O O O O O B I I
682|We have fear about rapes made by Muslim gangs and the diffusion of extremism, it is difficult to accept this fact but we are really in this situation.|{'start': [2], 'end': [13]}|O O B I I I I I I I I I I I O O O O O O O O O O O O O O
683|In recent times was made a survey that says that a large part of britons believe that there is a 'fundamental conflict' between Islam and 'british traditions'.|{'start': [20], 'end': [26]}|O O O O O O O O O O O O O O O O O O O O B I I I I I I
684|@user To the whore who runs your shitshow . Go educate yourself as to why acting like a fucking political slut doesn't @url|{'start': [7, 18], 'end': [7, 20]}|O O O O O O O B O O O O O O O O O O B I I O O
685|@user some shit skin|{'start': [2], 'end': [3]}|O O B I
686|"Since the feminists at #sorryitsaboy & #everydaysexism NOW just LOVE "" jokes "" I thought they'd like this oneright ?"|{'start': [2, 4, 6], 'end': [2, 4, 6]}|O O B O B O B O O O O O O O O O O O O O
687|Europe is civilised, Muslims should not stay there.|{'start': [3], 'end': [7]}|O O O B I I I I
688|niggerchomp isnt a chink she a white american dog|{'start': [0], 'end': [8]}|B I I I I I I I I
689|Imagine the groids licking their big lips when they see all those unsuspecting tourists walking around .|{'start': [2], 'end': [2]}|O O B O O O O O O O O O O O O O O
690|Islamic are criminals: they rape, enslave and murder people. Islam is more a worship than a religion and we do not have anything to share with them.|{'start': [0], 'end': [8]}|B I I I I I I I I O O O O O O O O O O O O O O O O O O
691|A federal judge in New York closed a filthy jew kosher slaughterhouse Tuesday , saying the plant ' s dirty birds posed a health risk to the community . |{'start': [8], 'end': [10]}|O O O O O O O O B I I O O O O O O O O O O O O O O O O O O
692|We dont want ppl from 3rd world shithole countries living here . . we have enough problems of our own #StopImmigration entirely . #deport them all .. #MAGA #KeepAmericaGreat #BUILDTHEWALL #GOP|{'start': [7, 20, 23, 29], 'end': [7, 20, 23, 29]}|O O O O O O O B O O O O O O O O O O O O B O O B O O O O O B O
693|@user lmao im finna b a dyke|{'start': [6], 'end': [6]}|O O O O O O B
694|I think that Ramadam will not prevent Muslims from committing terrorist attacks and sexual violence on our children.|{'start': [3], 'end': [17]}|O O O B I I I I I I I I I I I I I I
695|Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!|{'start': [0, 39], 'end': [2, 41]}|B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I
